Year,Y/M,areaCode,areaName,NHS_B,SC_B,Both_B,dtoc_total
2011,2011_APRIL,E06000001,Hartlepool,97.0,0.0,0.0,97.0
2011,2011_APRIL,E06000002,Middlesbrough,458.0,19.0,0.0,477.0
2011,2011_APRIL,E06000003,Redcar and Cleveland,433.0,52.0,33.0,518.0
2011,2011_APRIL,E06000004,Stockton-on-Tees,163.0,12.0,0.0,175.0
2011,2011_APRIL,E06000005,Darlington,312.0,35.0,36.0,383.0
2011,2011_APRIL,E06000006,Halton,85.0,5.0,33.0,123.0
2011,2011_APRIL,E06000007,Warrington,63.0,0.0,0.0,63.0
2011,2011_APRIL,E06000008,Blackburn with Darwen,242.0,0.0,0.0,242.0
2011,2011_APRIL,E06000009,Blackpool,306.0,150.0,8.0,464.0
2011,2011_APRIL,E06000010,"Kingston upon Hull, City of",506.0,215.0,77.0,798.0
2011,2011_APRIL,E06000011,East Riding of Yorkshire,354.0,13.0,0.0,367.0
2011,2011_APRIL,E06000012,North East Lincolnshire,142.0,89.0,42.0,273.0
2011,2011_APRIL,E06000013,North Lincolnshire,89.0,111.0,33.0,233.0
2011,2011_APRIL,E06000014,York,559.0,92.0,14.0,665.0
2011,2011_APRIL,E06000015,Derby,325.0,29.0,0.0,354.0
2011,2011_APRIL,E06000016,Leicester,563.0,84.0,184.0,831.0
2011,2011_APRIL,E06000017,Rutland,40.0,0.0,0.0,40.0
2011,2011_APRIL,E06000018,Nottingham,946.0,334.0,25.0,1305.0
2011,2011_APRIL,E06000019,"Herefordshire, County of",45.0,61.0,0.0,106.0
2011,2011_APRIL,E06000020,Telford and Wrekin,26.0,307.0,0.0,333.0
2011,2011_APRIL,E06000021,Stoke-on-Trent,439.0,65.0,101.0,605.0
2011,2011_APRIL,E06000022,Bath and North East Somerset,530.0,121.0,0.0,651.0
2011,2011_APRIL,E06000023,"Bristol, City of",406.0,153.0,0.0,559.0
2011,2011_APRIL,E06000024,North Somerset,254.0,7.0,0.0,261.0
2011,2011_APRIL,E06000025,South Gloucestershire,456.0,157.0,7.0,620.0
